rok;q;p;doch
1927;88.9;91.7;57.7
1928;88.9;92.0;59.3
1929;89.1;93.1;62.0
1930;88.7;90.9;56.3
1931;88.0;82.3;52.7
1932;85.9;76.3;44.4
1933;86.0;78.3;43.8
1934;87.1;84.3;47.8
1935;85.4;88.1;52.1
1936;88.5;88.0;58.0
1937;88.4;88.4;59.8
1938;88.6;83.5;55.9
1939;91.7;82.4;60.3
1940;93.3;83.0;64.1
1941;95.1;86.2;73.7
1948;96.7;105.3;82.1
1949;96.7;102.0;83.1
1950;98.0;102.4;88.6
1951;96.1;105.4;88.3
1952;98.1;105.0;89.1
1953;99.1;102.6;92.1
1954;99.1;101.9;91.7
1955;99.8;100.8;96.5
1956;101.5;100.0;99.8
1957;99.9;99.8;99.9
1958;99.1;101.2;98.4
1959;101.0;98.8;101.8
1960;100.7;98.4;101.8
1961;100.8;98.8;103.1
1962;101.0;98.4;105.5
